店舗,月,売上_千円,客数,客単価_円,会員比率_pct
駅前店,1月,7540,5200,1450,22
駅前店,2月,7272,5050,1440,22
駅前店,3月,7130,4900,1455,23
駅前店,4月,6862,4700,1460,23
駅前店,5月,6525,4500,1450,24
駅前店,6月,6300,4300,1465,24
郊外モール店,1月,6080,3800,1600,35
郊外モール店,2月,6379,3950,1615,38
郊外モール店,3月,6765,4150,1630,40
郊外モール店,4月,7380,4500,1640,43
郊外モール店,5月,8051,4850,1660,46
郊外モール店,6月,8736,5200,1680,48
商店街店,1月,2520,2100,1200,15
商店街店,2月,2450,2050,1195,15
商店街店,3月,2602,2150,1210,15
商店街店,4月,2506,2080,1205,16
商店街店,5月,2544,2120,1200,16
商店街店,6月,2541,2100,1210,16
アウトレット店,1月,2842,2900,980,8
アウトレット店,2月,2807,2850,985,8
アウトレット店,3月,2723,2750,990,8
アウトレット店,4月,2687,2700,995,9
アウトレット店,5月,2650,2650,1000,9
アウトレット店,6月,2626,2600,1010,9
